,Time,Action,Team
396,06:04,"BROCK,CLAIRE defensive rebound",Emory
397,05:54,"MUNSON,IZZY missed jump shot",Emory
398,05:50,"MATSKO,MEGAN defensive rebound",Opponent
399,05:37,"Foul by MARTIN,ERIN",Emory
400,05:37,"MARTIN,ERIN
                                 goes to the bench",Emory
401,05:37,"LAUDICK,MORGAN
                                 enters the game",Emory
402,05:18,"CHINTALA,ANISHA missed jump shot",Opponent
403,05:15,"BLACK,AVA offensive rebound",Opponent
404,05:14,"BLACK,AVA missed layup",Opponent
405,05:14,"Block by LAUDICK,MORGAN",Emory
406,05:08,"GROSS,PAIGE defensive rebound",Emory
407,05:06,"GROSS,PAIGE missed 3-pt. jump shot",Emory
408,05:05,TEAM offensive rebound,Emory
409,05:05,"MUNSON,IZZY
                                 goes to the bench",Emory
410,05:05,"AUZA,MARIANE
                                 enters the game",Emory
411,05:00,"BROCK,CLAIRE made jump shot",Emory
412,04:53,"Foul by ARONSKY,DANIELLA",Emory
413,04:32,"Foul by AUZA,MARIANE",Emory
414,04:32,"ARONSKY,DANIELLA
                                 goes to the bench",Emory
415,04:32,"MUNSON,IZZY
                                 enters the game",Emory
416,04:32,"OR,CATHERINE made free throw",Opponent
417,04:32,"OR,CATHERINE made free throw",Opponent
418,04:19,"AUZA,MARIANE missed layup",Emory
419,04:18,TEAM defensive rebound,Opponent
420,04:18,"GROSS,PAIGE
                                 goes to the bench",Emory
421,04:18,"MARTIN,ERIN
                                 enters the game",Emory
422,03:54,"Turnover by OR,CATHERINE",Opponent
423,03:54,"Steal by AUZA,MARIANE",Emory
424,03:45,"BROCK,CLAIRE missed layup",Emory
425,03:43,"AUZA,MARIANE offensive rebound",Emory
426,03:41,"MUNSON,IZZY missed 3-pt. jump shot",Emory
427,03:39,TEAM deadball rebound,Opponent
428,03:39,"Foul by LAUDICK,MORGAN",Emory
429,03:39,"BLACK,AVA
                                 goes to the bench",Opponent
430,03:39,"PRASAD,ANIKA
                                 enters the game",Opponent
431,03:39,"MATSKO,MEGAN made free throw",Opponent
432,03:39,"MATSKO,MEGAN made free throw",Opponent
433,03:13,"BROCK,CLAIRE made layup",Emory
434,03:13,"Foul by MATSKO,MEGAN",Opponent
435,03:13,"BROCK,CLAIRE made free throw",Emory
436,03:00,"PRASAD,ANIKA missed layup",Opponent
437,03:00,"PRASAD,ANIKA offensive rebound",Opponent
438,02:55,"Foul by AUZA,MARIANE",Emory
439,02:55,"MATSKO,MEGAN made free throw",Opponent
440,02:55,"MATSKO,MEGAN made free throw",Opponent
441,02:50,"Foul by CHINTALA,ANISHA",Opponent
442,02:50,"BROCK,CLAIRE missed free throw",Emory
443,02:50,TEAM deadball rebound,Emory
444,02:50,"BROCK,CLAIRE made free throw",Emory
445,02:26,"PRASAD,ANIKA missed layup",Opponent
446,02:23,"LAUDICK,MORGAN defensive rebound",Emory
447,02:17,"Turnover by MUNSON,IZZY",Emory
448,02:04,"GIBBS,SAVANNAH missed layup",Opponent
449,02:02,"MARTIN,ERIN defensive rebound",Emory
450,01:45,"MUNSON,IZZY missed layup",Emory
451,01:44,"CHINTALA,ANISHA defensive rebound",Opponent
452,01:44,"Turnover by CHINTALA,ANISHA",Opponent
453,01:44,"Steal by MUNSON,IZZY",Emory
454,01:44,"MUNSON,IZZY
                                 goes to the bench",Emory
455,01:44,"ARONSKY,DANIELLA
                                 enters the game",Emory
456,01:39,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
457,01:39,"Assist by AUZA,MARIANE",Emory
458,01:31,TEAM TIMEOUT by Carnegie Mellon,Opponent
459,01:31,"ARONSKY,DANIELLA
                                 goes to the bench",Emory
460,01:31,"MUNSON,IZZY
                                 enters the game",Emory
461,01:31,"PRASAD,ANIKA
                                 goes to the bench",Opponent
462,01:31,"BLACK,AVA
                                 enters the game",Opponent
463,01:15,"GIBBS,SAVANNAH missed layup",Opponent
464,01:12,"MARTIN,ERIN defensive rebound",Emory
465,01:05,30SEC TIMEOUT by Opponent,Emory
466,01:05,"MUNSON,IZZY
                                 goes to the bench",Emory
467,01:05,"ARONSKY,DANIELLA
                                 enters the game",Emory
468,01:05,"BLACK,AVA
                                 goes to the bench",Opponent
469,01:05,"PRASAD,ANIKA
                                 enters the game",Opponent
470,00:45,"AUZA,MARIANE missed jump shot",Emory
471,00:44,TEAM deadball rebound,Opponent
